Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
camel	"[k&][ml,]"	k	2	0.69	599	6.40	2.40	5	4	2	747.25	79.42	1	15	13	7	53.8	0.530	0.562	7.22	1	7	2	2	4	2	0	0	0	0	3	2
camisole	  - 	k	1	0.00	31	3.43	4.20	8	7	3	404.65	44.69	0	18	15	6	40.0	0.371	0.353	214.92	12	33	3	0	7	1	0	0	0	2	2	3
canary	[k@][nE@][rI]	k	1	0.00	372	5.92	3.65	6	6	3	739.32	123.94	1	15	13	0	0.0	0.105	0.105	733.94	25	32	0	3	6	1	2	0	0	0	1	2
candle	"[k&n][dl,]"	k	23	3.14	1590	7.37	7.70	6	5	2	1598.70	230.40	1	14	14	9	64.3	0.633	0.659	43.82	1	10	2	2	4	1	0	0	1	0	4	0
cannon	[k&][n@n]	k	7	1.95	785	6.67	2.95	6	5	2	1014.92	256.49	3	17	16	5	31.3	0.300	0.297	118.93	9	16	2	1	5	1	2	0	0	1	4	1
canoe	[k@][nu:]	k	9	2.20	531	6.27	6.10	5	4	2	428.43	16.15	1	18	17	10	58.8	0.568	0.555	48.32	3	14	6	2	5	0	0	0	0	0	4	1
cantaloupe	  - 	k	1	0.00	4	1.39	6.30	10	8	3	104.77	0.00	0	14	12	2	16.7	0.234	0.234	548.91	31	69	0	0	3	2	0	2	0	2	3	2
cap_(bottle)	[k&p]	k	33	3.50	2797	7.94	7.95	3	3	1			19	9	9	5	55.6	0.505	0.510	0.00	0	0	4	0	4	0	0	0	0	0	1	0
cap_(hat)	[k&p]	k	33	3.50	2797	7.94	6.90	3	3	1			19	12	10	5	50.0	0.592	0.588	16.31	2	20	5	0	2	1	0	0	0	1	1	2
cape	[keIp]	k	24	3.18	1045	6.95	4.05	4	3	1	873.87	45.11	14	12	11	7	63.6	0.623	0.602	0.00	0	0	4	1	2	1	0	0	0	0	3	1
car	[kA:r*]	k	386	5.96	35374	10.47	8.60	3	3	1			18	16	15	3	20.0	0.268	0.270	349.16	19	29	2	1	7	1	0	0	0	0	4	1
card_(greeting)	[kA:d]	k	56	4.03	9654	9.18	7.05	4	3	1	1654.66	343.77	12	13	13	8	61.5	0.694	0.685	93.21	5	50	4	0	3	1	0	0	0	0	5	0
caribou	[k&][rI][bu:]	k	1	0.00	57	4.04	3.60	7	6	3	595.67	98.53	0	18	15	2	13.3	0.224	0.215	342.19	19	24	2	2	6	1	0	0	0	0	4	3
carpet	[kA:][pIt]	k	17	2.83	3396	8.13	8.75	6	5	2	1004.88	58.55	0	17	17	8	47.1	0.482	0.491	24.59	2	6	4	0	3	2	0	0	0	4	4	0
carrot	[k&][r@t]	k	5	1.61	872	6.77	7.60	6	5	2	768.79	117.43	1	18	16	6	37.5	0.369	0.389	275.20	15	33	4	0	4	2	0	0	0	1	5	2
cart	[kA:t]	k	10	2.30	1272	7.15	5.70	4	3	1	1686.33	416.39	14	11	11	1	9.1	0.233	0.222	392.60	16	36	5	0	6	0	0	0	0	0	0	0
cat	[k&t]	k	41	3.71	5540	8.62	7.65	3	3	1			22	20	15	5	33.3	0.364	0.368	147.73	11	24	0	2	8	0	2	0	0	0	3	5
