CONCEPT	escalator	falcon	fan_(appliance)	faucet	fawn	fence	finch	flamingo	flea	flute	football	fork	fox	freezer	fridge	frog	garage	garlic	gate	giraffe	gloves	goat	goldfish	goose	gopher	gorilla	gown	grape	grapefruit	grasshopper	grater	grenade	groundhog	guitar	gun	guppy	hammer	hamster	hare	harmonica	harp	harpoon	harpsichord	hatchet	hawk	helicopter	helmet	hoe	honeydew	hook	hornet	horse	hose	hose_(leggings)	house	housefly	hut	hyena	iguana	inn	jacket	jar	jeans	jeep	jet	kettle	key	keyboard_(musical)	kite	knife	ladle	lamb	lamp	lantern	lemon	leopard	leotards	lettuce	level	lime	limousine	lion	lobster	machete	mackerel	magazine	mandarin	marble	mat	medal	menu	microscope	microwave	mink	mink_(coat)	minnow	mirror	missile	mittens	mixer	mole_(animal)	moose	moth	motorcycle	mouse	mouse_(computer)	mug	mushroom	muzzle	napkin	necklace	nectarine	nightgown	nightingale	nylons	oak	octopus	olive	onions	orange	oriole	ostrich	otter	oven	owl	ox	paintbrush	pajamas	pan	panther	pants	parakeet	parka	parsley	partridge	peach	peacock	pear	pearl	peas	peg	pelican	pen	pencil	penguin	pepper	perch	pheasant	piano	pickle	pie	pier	pig	pigeon	pillow	pin	pine	pineapple	pipe_(plumbing)	pipe_(smoking)	pistol	plate	platypus	pliers	plug_(electric)	plum	pony	porcupine	pot	potato	projector	prune	pumpkin	pyramid	python	rabbit	raccoon	racquet	radio	radish	raft	raisin	rake	raspberry	rat	rattle	rattlesnake	raven	razor	revolver	rhubarb	rice	rifle	ring_(jewelry)	robe	robin	rock	rocker	rocket	rooster
radio	0.053	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.086	0.000	0.082	0.038	0.000	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
radish	0.000	0.000	0.000	0.000	0.065	0.000	0.136	0.000	0.171	0.040	0.019	0.000	0.153	0.060	0.024	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.103	0.000	0.107	0.000	0.000	0.135	0.049	0.044	0.040	0.088	0.091	0.000	0.000	0.129	0.000	0.150	0.041	0.069	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.032	0.000	0.054	0.093	0.187	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.451	0.000	0.051	0.000	0.000	0.168	0.000	0.000	0.000	0.089	0.195	0.058	0.021	0.000	0.000	0.000	0.090	0.000	0.160	0.000	0.000	0.000	0.000	0.152	0.000	0.054	0.000	0.131	0.087	0.000	0.309	0.000	0.000	0.000	0.097	0.000	0.000	0.000	0.039	0.000	0.300	0.304	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.031	0.000	0.197	0.000	0.030	0.000	0.000	0.143	0.378	0.128	0.000	0.071	0.000	0.038	0.034	0.065	0.000	0.000	0.185	0.059	0.000	0.000	0.000	0.000	0.132	0.000	0.104	0.073	0.000	0.067	0.095	0.000	0.000	0.000	0.190	0.109	0.099	0.025	0.350	0.000	0.075	0.102	0.000	0.000	0.058	0.052	0.020	0.000	1.000	0.000	0.133	0.000	0.217	0.039	0.018	0.000	0.000	0.000	0.000	0.406	0.117	0.000	0.063	0.000	0.031	0.000	0.000	0.029	0.038
raft	0.000	0.000	0.000	0.000	0.000	0.270	0.000	0.000	0.000	0.080	0.000	0.016	0.000	0.000	0.000	0.000	0.090	0.000	0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.187	0.000	0.000	0.057	0.000	0.000	0.000	0.077	0.000	0.104	0.000	0.000	0.029	0.031	0.000	0.000	0.018	0.000	0.027	0.071	0.000	0.123	0.000	0.242	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.034	0.013	0.000	0.000	0.090	0.000	0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.022	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.399	0.000	0.040	0.219	0.000	0.000	0.000	0.000	0.135	0.000	0.000	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.143	0.000	0.015	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.000	1.000	0.000	0.211	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.288	0.000	0.000
raisin	0.027	0.000	0.000	0.000	0.149	0.000	0.182	0.000	0.264	0.049	0.054	0.000	0.063	0.000	0.000	0.000	0.000	0.057	0.000	0.054	0.000	0.000	0.127	0.020	0.186	0.033	0.000	0.268	0.208	0.077	0.049	0.071	0.179	0.000	0.037	0.159	0.000	0.206	0.073	0.085	0.000	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.351	0.000	0.054	0.000	0.000	0.000	0.067	0.177	0.230	0.000	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.086	0.000	0.000	0.000	0.070	0.000	0.000	0.224	0.000	0.000	0.068	0.000	0.255	0.052	0.000	0.053	0.000	0.021	0.000	0.393	0.136	0.071	0.000	0.000	0.000	0.000	0.139	0.092	0.213	0.000	0.000	0.000	0.000	0.260	0.042	0.103	0.000	0.161	0.107	0.000	0.167	0.000	0.000	0.000	0.334	0.000	0.000	0.000	0.030	0.046	0.206	0.015	0.275	0.035	0.000	0.051	0.000	0.031	0.048	0.000	0.000	0.000	0.109	0.000	0.038	0.000	0.031	0.027	0.319	0.000	0.363	0.122	0.180	0.117	0.000	0.000	0.020	0.126	0.122	0.140	0.056	0.066	0.119	0.061	0.000	0.014	0.000	0.000	0.162	0.000	0.401	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.488	0.135	0.178	0.000	0.064	0.000	0.537	0.049	0.000	0.000	0.101	0.138	0.000	0.000	0.133	0.000	1.000	0.000	0.425	0.048	0.000	0.000	0.080	0.000	0.039	0.110	0.236	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.023
rake	0.062	0.000	0.037	0.080	0.000	0.278	0.000	0.000	0.000	0.162	0.000	0.194	0.012	0.000	0.000	0.000	0.061	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.076	0.000	0.000	0.000	0.183	0.028	0.000	0.128	0.066	0.000	0.321	0.000	0.000	0.121	0.053	0.160	0.071	0.420	0.000	0.050	0.000	0.429	0.000	0.144	0.000	0.000	0.080	0.000	0.084	0.000	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.116	0.135	0.000	0.047	0.138	0.240	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.268	0.000	0.060	0.014	0.000	0.216	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.062	0.000	0.014	0.000	0.000	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.187	0.000	0.000	0.046	0.031	0.000	0.066	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.228	0.000	0.230	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.371	0.000	0.101	0.169	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.189	0.000	0.000	0.000	0.145	0.000	0.000	0.202	0.098	0.048	0.000	0.000	0.351	0.045	0.000	0.000	0.000	0.262	0.000	0.000	0.000	0.011	0.000	0.067	0.016	0.000	0.164	0.000	0.000	0.211	0.000	1.000	0.000	0.020	0.060	0.066	0.000	0.079	0.128	0.019	0.000	0.090	0.033	0.053	0.000	0.000	0.196	0.141	0.000
raspberry	0.000	0.000	0.000	0.000	0.088	0.000	0.077	0.000	0.097	0.022	0.000	0.000	0.196	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.058	0.042	0.060	0.000	0.000	0.477	0.337	0.070	0.022	0.033	0.051	0.000	0.000	0.073	0.000	0.085	0.023	0.039	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.408	0.000	0.000	0.000	0.000	0.000	0.031	0.053	0.105	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.345	0.000	0.000	0.140	0.000	0.352	0.000	0.000	0.421	0.000	0.043	0.000	0.435	0.062	0.033	0.000	0.000	0.000	0.000	0.051	0.000	0.122	0.000	0.000	0.000	0.000	0.086	0.000	0.030	0.000	0.074	0.049	0.000	0.130	0.000	0.000	0.000	0.366	0.000	0.000	0.000	0.000	0.095	0.183	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.083	0.055	0.404	0.000	0.451	0.042	0.117	0.053	0.000	0.065	0.000	0.021	0.000	0.177	0.116	0.000	0.253	0.171	0.000	0.028	0.000	0.000	0.074	0.000	0.392	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.529	0.062	0.056	0.000	0.047	0.000	0.405	0.167	0.000	0.000	0.093	0.029	0.000	0.000	0.217	0.000	0.425	0.000	1.000	0.022	0.000	0.000	0.000	0.000	0.000	0.394	0.156	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.108
rat	0.000	0.043	0.000	0.000	0.266	0.020	0.095	0.030	0.062	0.014	0.000	0.000	0.329	0.016	0.017	0.143	0.000	0.041	0.000	0.092	0.000	0.318	0.062	0.061	0.283	0.078	0.000	0.017	0.000	0.071	0.014	0.021	0.218	0.000	0.000	0.047	0.000	0.366	0.248	0.025	0.000	0.000	0.000	0.022	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.020	0.142	0.067	0.213	0.258	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.035	0.000	0.000	0.000	0.154	0.000	0.000	0.000	0.136	0.000	0.000	0.000	0.018	0.026	0.180	0.109	0.000	0.000	0.000	0.024	0.040	0.021	0.000	0.000	0.000	0.000	0.231	0.000	0.084	0.000	0.000	0.000	0.000	0.208	0.156	0.036	0.000	0.578	0.031	0.000	0.037	0.000	0.029	0.000	0.012	0.000	0.000	0.000	0.000	0.079	0.014	0.029	0.000	0.000	0.056	0.241	0.000	0.088	0.173	0.000	0.000	0.000	0.142	0.031	0.055	0.000	0.000	0.030	0.000	0.114	0.010	0.079	0.045	0.034	0.056	0.000	0.000	0.096	0.000	0.092	0.044	0.026	0.000	0.000	0.000	0.310	0.086	0.009	0.048	0.000	0.000	0.000	0.000	0.024	0.012	0.130	0.000	0.000	0.037	0.390	0.183	0.000	0.000	0.000	0.027	0.000	0.000	0.028	0.209	0.327	0.000	0.000	0.039	0.000	0.048	0.020	0.022	1.000	0.000	0.228	0.045	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.102	0.024	0.000	0.000	0.101
rattle	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.022	0.000	0.020	0.023	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.055	0.068	0.044	0.032	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.048	0.000	0.000	0.142	0.046	0.059	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.018	0.018	0.090	0.000	0.016	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.087	0.000	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.056	0.000	0.077	0.000	0.000	0.049	0.000	0.000	0.000	0.023	0.035	0.000	0.054	0.032	0.095	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.099	0.000	0.000	0.045	0.025	0.000	0.000	0.089	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.051	0.000	0.018	0.026	0.000	0.060	0.000	0.000	1.000	0.000	0.000	0.000	0.024	0.000	0.015	0.017	0.049	0.000	0.000	0.000	0.000	0.023	0.000
rattlesnake	0.000	0.045	0.000	0.000	0.170	0.000	0.056	0.017	0.049	0.082	0.000	0.000	0.142	0.000	0.000	0.163	0.000	0.000	0.000	0.041	0.000	0.218	0.036	0.022	0.076	0.265	0.205	0.041	0.000	0.089	0.000	0.061	0.080	0.000	0.028	0.000	0.000	0.135	0.102	0.000	0.000	0.122	0.000	0.000	0.012	0.000	0.000	0.050	0.027	0.000	0.000	0.186	0.261	0.000	0.000	0.000	0.000	0.080	0.299	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.034	0.000	0.000	0.000	0.068	0.000	0.050	0.000	0.071	0.164	0.103	0.081	0.126	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.127	0.000	0.015	0.000	0.093	0.000	0.000	0.033	0.043	0.000	0.042	0.221	0.000	0.000	0.166	0.000	0.000	0.084	0.000	0.178	0.000	0.000	0.000	0.026	0.058	0.012	0.000	0.000	0.000	0.138	0.016	0.024	0.077	0.077	0.000	0.000	0.097	0.055	0.054	0.000	0.076	0.017	0.000	0.106	0.049	0.000	0.062	0.000	0.022	0.152	0.053	0.026	0.000	0.107	0.025	0.000	0.053	0.000	0.000	0.232	0.054	0.000	0.000	0.049	0.000	0.154	0.000	0.023	0.000	0.073	0.000	0.023	0.000	0.282	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.114	0.179	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.228	0.000	1.000	0.025	0.000	0.013	0.085	0.000	0.097	0.000	0.144	0.111	0.000	0.000	0.113	0.051
raven	0.053	0.802	0.000	0.000	0.046	0.000	0.683	0.497	0.138	0.000	0.000	0.000	0.100	0.019	0.020	0.027	0.017	0.000	0.000	0.059	0.000	0.077	0.020	0.769	0.107	0.172	0.000	0.000	0.013	0.077	0.000	0.000	0.114	0.000	0.072	0.000	0.000	0.068	0.039	0.000	0.026	0.000	0.015	0.000	0.728	0.000	0.000	0.000	0.000	0.000	0.371	0.106	0.000	0.000	0.021	0.405	0.000	0.130	0.028	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.168	0.000	0.000	0.000	0.107	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.114	0.096	0.043	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.074	0.021	0.000	0.054	0.000	0.000	0.064	0.109	0.311	0.000	0.053	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.771	0.000	0.017	0.059	0.200	0.000	0.000	0.833	0.454	0.083	0.000	0.564	0.150	0.000	0.000	0.000	0.284	0.000	0.551	0.024	0.000	0.837	0.000	0.655	0.000	0.059	0.000	0.000	0.670	0.000	0.000	0.572	0.238	0.066	0.720	0.140	0.000	0.000	0.016	0.077	0.764	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.158	0.000	0.000	0.000	0.063	0.100	0.000	0.000	0.000	0.000	0.022	0.044	0.040	0.094	0.242	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.045	0.000	0.025	1.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.486	0.000	0.000	0.032	0.529
razor	0.098	0.000	0.107	0.112	0.000	0.089	0.000	0.000	0.000	0.072	0.000	0.153	0.000	0.031	0.032	0.000	0.000	0.000	0.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.445	0.027	0.000	0.000	0.062	0.000	0.046	0.000	0.000	0.114	0.000	0.373	0.000	0.432	0.000	0.047	0.000	0.027	0.000	0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.124	0.127	0.047	0.000	0.528	0.113	0.000	0.067	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.589	0.000	0.000	0.000	0.000	0.053	0.044	0.000	0.059	0.036	0.000	0.000	0.000	0.043	0.055	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.118	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.381	0.000	0.000	0.137	0.000	0.045	0.000	0.000	0.115	0.043	0.000	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.037	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	1.000	0.072	0.000	0.000	0.027	0.031	0.024	0.000	0.000	0.000	0.094	0.000
revolver	0.081	0.000	0.033	0.073	0.000	0.086	0.000	0.000	0.050	0.070	0.000	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.144	0.222	0.000	0.000	0.587	0.000	0.084	0.000	0.000	0.110	0.000	0.256	0.000	0.206	0.000	0.100	0.000	0.085	0.000	0.131	0.032	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.079	0.123	0.081	0.000	0.211	0.109	0.029	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.013	0.000	0.202	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.057	0.000	0.000	0.036	0.000	0.000	0.245	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.097	0.000	0.000	0.033	0.000	0.000	0.060	0.000	0.000	0.048	0.000	0.151	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.114	0.000	0.041	0.000	0.075	0.115	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.132	0.000	0.000	0.133	0.000	0.599	0.000	0.000	0.111	0.066	0.000	0.000	0.015	0.163	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.070	0.059	0.000	0.000	0.000	0.039	0.128	0.000	0.000	0.024	0.013	0.076	0.072	1.000	0.000	0.000	0.510	0.030	0.000	0.000	0.033	0.000	0.131	0.000
rhubarb	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.126	0.000	0.000	0.164	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.059	0.058	0.290	0.181	0.200	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.014	0.149	0.000	0.000	0.000	0.181	0.000	0.000	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.152	0.000	0.000	0.540	0.000	0.335	0.046	0.000	0.315	0.029	0.042	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.222	0.000	0.000	0.024	0.093	0.050	0.000	0.000	0.073	0.093	0.328	0.209	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.016	0.000	0.000	0.480	0.054	0.140	0.000	0.337	0.000	0.359	0.000	0.000	0.092	0.015	0.000	0.000	0.120	0.114	0.000	0.389	0.124	0.000	0.028	0.000	0.000	0.000	0.136	0.138	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.182	0.000	0.000	0.000	0.302	0.000	0.097	0.077	0.000	0.051	0.059	0.000	0.000	0.000	0.406	0.000	0.110	0.019	0.394	0.000	0.000	0.085	0.000	0.000	0.000	1.000	0.099	0.019	0.000	0.041	0.000	0.000	0.000	0.032	0.093
rice	0.000	0.000	0.000	0.000	0.178	0.130	0.122	0.000	0.155	0.036	0.086	0.000	0.046	0.107	0.111	0.000	0.000	0.254	0.000	0.049	0.000	0.072	0.093	0.194	0.169	0.000	0.000	0.089	0.065	0.094	0.036	0.076	0.171	0.000	0.000	0.116	0.000	0.164	0.147	0.062	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.025	0.000	0.049	0.084	0.169	0.000	0.000	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.227	0.000	0.000	0.000	0.418	0.000	0.000	0.000	0.000	0.000	0.167	0.000	0.046	0.166	0.000	0.131	0.000	0.051	0.000	0.078	0.167	0.052	0.017	0.000	0.000	0.000	0.119	0.072	0.183	0.000	0.000	0.000	0.000	0.234	0.056	0.097	0.000	0.209	0.079	0.000	0.423	0.000	0.189	0.000	0.063	0.000	0.000	0.000	0.040	0.113	0.119	0.207	0.036	0.000	0.000	0.068	0.000	0.042	0.064	0.000	0.000	0.024	0.000	0.000	0.028	0.000	0.138	0.065	0.071	0.000	0.177	0.460	0.206	0.112	0.107	0.025	0.000	0.265	0.000	0.205	0.138	0.169	0.179	0.271	0.000	0.034	0.000	0.056	0.119	0.000	0.000	0.059	0.000	0.060	0.154	0.000	0.000	0.000	0.178	0.099	0.164	0.020	0.130	0.000	0.068	0.027	0.000	0.000	0.124	0.164	0.016	0.000	0.117	0.000	0.236	0.000	0.156	0.099	0.015	0.000	0.000	0.000	0.000	0.099	1.000	0.000	0.050	0.000	0.028	0.000	0.000	0.024	0.121
rifle	0.021	0.000	0.013	0.028	0.000	0.033	0.000	0.000	0.000	0.058	0.000	0.033	0.000	0.000	0.021	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.107	0.078	0.000	0.000	0.000	0.061	0.187	0.000	0.000	0.758	0.000	0.077	0.000	0.000	0.042	0.000	0.382	0.000	0.097	0.000	0.075	0.000	0.070	0.000	0.050	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.037	0.047	0.000	0.000	0.203	0.042	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.028	0.000	0.213	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.361	0.000	0.034	0.000	0.000	0.000	0.125	0.000	0.000	0.053	0.000	0.000	0.000	0.032	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.063	0.000	0.072	0.000	0.021	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.073	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.109	0.000	0.704	0.000	0.000	0.042	0.070	0.000	0.000	0.033	0.081	0.000	0.000	0.000	0.000	0.000	0.143	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.017	0.097	0.000	0.027	0.510	0.019	0.000	1.000	0.011	0.055	0.000	0.069	0.000	0.127	0.000
ring_(jewelry)	0.024	0.000	0.014	0.058	0.000	0.037	0.000	0.000	0.000	0.030	0.049	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.077	0.000	0.054	0.090	0.000	0.000	0.026	0.000	0.019	0.000	0.000	0.047	0.000	0.045	0.000	0.063	0.000	0.019	0.000	0.011	0.193	0.056	0.000	0.000	0.084	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.024	0.053	0.000	0.000	0.038	0.047	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.000	0.064	0.041	0.000	0.000	0.061	0.222	0.000	0.402	0.000	0.083	0.000	0.048	0.237	0.000	0.040	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.383	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.119	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.334	0.109	0.137	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.084	0.155	0.000	0.000	0.000	0.014	0.057	0.000	0.000	0.250	0.000	0.019	0.249	0.000	0.047	0.018	0.085	0.000	0.000	0.110	0.000	0.000	0.000	0.089	0.000	0.000	0.000	0.000	0.064	0.000	0.063	0.000	0.000	0.033	0.000	0.000	0.049	0.000	0.000	0.031	0.030	0.000	0.050	0.011	1.000	0.000	0.000	0.000	0.000	0.204	0.000
