num,concept,complex_line_mean,complex_gray_mean,complex_color_mean,complex_line_sd,complex_gray_sd,complex_color_sd,diagnostic,familiarity_line_mean,familiarity_gray_mean,familiarity_color_mean,familiarity_line_sd,familiarity_gray_sd,familiarity_color_sd,image_line_mean,image_gray_mean,image_color_mean,image_line_sd,image_gray_sd,image_color_sd,H_line,H_gray,H_color,acc_line,acc_gray,acc_color,rt_line,rt_gray,rt_color
50,caterpillar,4.18,4.25,4.08,1.33,0.75,0.63,3.00,2.47,1.94,2.24,0.89,0.81,0.82,4.18,4.25,4.08,1.33,0.75,0.63,0.00,0.47,0.47,100.00,90.00,90.00,1087.00,1034.00,872.00
51,celery,3.82,3.67,3.83,1.25,1.70,2.15,4.82,3.06,2.94,3.06,1.68,0.81,1.31,3.82,3.67,3.83,1.25,1.70,2.15,0.43,0.64,0.43,91.00,88.00,91.00,1313.00,1461.00,1622.00
52,chain,3.91,3.92,4.00,1.30,1.36,2.36,3.64,3.47,2.76,2.29,1.39,0.82,0.60,3.91,3.92,4.00,1.30,1.36,2.36,0.00,0.50,0.29,100.00,89.00,95.00,956.00,940.00,834.00
53,chair,3.45,3.25,3.42,1.29,1.11,0.81,2.64,5.00,5.00,5.00,0.00,0.00,0.00,3.45,3.25,3.42,1.29,1.11,0.81,0.29,0.00,0.00,95.00,100.00,100.00,701.00,743.00,644.00
54,cherry,4.45,4.67,4.58,0.93,0.24,0.27,4.73,3.71,4.06,3.53,1.10,0.93,0.64,4.45,4.67,4.58,0.93,0.24,0.27,0.29,0.00,0.00,95.00,100.00,100.00,974.00,1107.00,849.00
55,chicken,4.45,4.17,3.67,0.52,0.88,1.70,3.64,3.82,3.71,3.53,1.78,0.85,0.64,4.45,4.17,3.67,0.52,0.88,1.70,0.32,0.00,0.00,94.00,100.00,100.00,768.00,788.00,731.00
56,chisel,2.00,2.64,2.25,1.49,2.05,2.20,3.55,2.06,1.76,2.06,1.26,0.69,0.68,2.00,2.64,2.25,1.49,2.05,2.20,0.00,0.00,0.00,100.00,100.00,100.00,1952.00,1342.00,1109.00
57,church,3.55,3.58,3.33,1.21,0.99,0.97,2.73,4.29,3.88,3.76,0.85,1.11,1.32,3.55,3.58,3.33,1.21,0.99,0.97,1.49,0.93,0.83,50.00,65.00,74.00,821.00,858.00,728.00
58,cigar,3.73,4.50,4.25,1.19,0.27,0.75,4.91,2.76,2.53,3.00,1.19,1.26,1.00,3.73,4.50,4.25,1.19,0.27,0.75,0.00,0.00,0.00,100.00,100.00,100.00,1154.00,1067.00,893.00
59,cigarette,3.73,4.50,4.42,1.42,0.27,0.45,4.82,4.65,4.29,4.65,0.37,0.72,0.37,3.73,4.50,4.42,1.42,0.27,0.45,0.29,0.00,0.50,95.00,100.00,89.00,842.00,855.00,795.00
60,clock,2.82,2.50,2.50,1.25,1.36,2.09,2.18,4.24,4.12,3.82,1.07,1.11,1.53,2.82,2.50,2.50,1.25,1.36,2.09,0.00,0.00,0.00,100.00,100.00,100.00,932.00,865.00,946.00
61,clothespin,4.73,4.58,4.83,0.65,0.27,0.15,1.82,4.12,3.88,3.82,1.36,0.74,0.40,4.73,4.58,4.83,0.65,0.27,0.15,0.00,0.00,0.00,100.00,100.00,100.00,976.00,913.00,913.00
62,cloud,3.09,3.08,3.67,1.14,1.36,0.79,3.91,2.18,1.75,3.29,3.15,1.27,2.35,3.09,3.08,3.67,1.14,1.36,0.79,0.00,0.00,0.00,100.00,100.00,100.00,1542.00,1155.00,1040.00
63,clown,3.45,3.67,2.83,1.04,0.61,1.79,2.91,2.59,3.00,2.71,1.63,0.88,0.72,3.45,3.67,2.83,1.04,0.61,1.79,1.18,1.16,0.64,74.00,65.00,88.00,856.00,819.00,766.00
64,coat,2.82,3.25,2.75,1.25,1.84,2.39,1.18,4.65,4.06,3.76,0.37,0.68,0.69,2.82,3.25,2.75,1.25,1.84,2.39,0.50,0.29,0.29,89.00,95.00,95.00,907.00,801.00,662.00
65,comb,4.45,4.00,4.00,0.52,0.91,1.64,1.60,4.35,4.00,4.12,0.74,1.38,1.36,4.45,4.00,4.00,0.52,0.91,1.64,1.39,1.48,1.36,58.00,50.00,60.00,748.00,733.00,720.00
66,corn,4.55,4.67,4.58,0.52,0.24,0.63,4.91,3.00,3.24,2.82,2.27,0.82,0.65,4.55,4.67,4.58,0.52,0.24,0.63,0.74,0.64,0.50,79.00,88.00,89.00,872.00,976.00,774.00
67,couch,3.36,3.67,3.42,1.21,0.79,0.81,1.09,4.44,4.47,4.65,1.86,0.51,0.37,3.36,3.67,3.42,1.21,0.79,0.81,1.23,0.97,1.49,53.00,60.00,63.00,1002.00,1198.00,822.00
68,cow,3.55,3.58,3.50,1.21,0.99,1.18,3.18,3.94,4.06,3.24,1.31,0.43,1.07,3.55,3.58,3.50,1.21,0.99,1.18,0.97,0.92,0.00,79.00,80.00,100.00,1114.00,1044.00,945.00
69,crown,3.55,3.83,3.67,1.13,0.88,0.97,3.46,2.47,1.76,2.12,1.14,0.94,0.61,3.55,3.83,3.67,1.13,0.88,0.97,1.86,0.73,1.30,59.00,86.00,60.00,1001.00,1051.00,884.00
70,cup,4.00,3.67,3.33,0.77,1.52,1.52,1.46,4.82,4.47,4.59,0.28,0.64,0.38,4.00,3.67,3.33,0.77,1.52,1.52,0.83,0.72,0.61,74.00,80.00,85.00,690.00,749.00,666.00
71,deer,4.27,4.58,4.67,1.01,0.27,0.24,4.73,2.41,2.53,2.41,2.01,1.14,0.51,4.27,4.58,4.67,1.01,0.27,0.24,0.61,0.59,0.00,85.00,89.00,100.00,1286.00,1224.00,1070.00
72,desk,3.09,3.00,2.75,1.22,0.91,2.02,2.09,4.47,4.71,4.71,0.89,0.35,0.35,3.09,3.00,2.75,1.22,0.91,2.02,0.00,0.00,0.00,100.00,100.00,100.00,986.00,984.00,910.00
73,dog,3.09,3.42,3.50,1.51,1.90,0.82,2.91,4.71,4.65,4.41,0.47,0.62,0.38,3.09,3.42,3.50,1.51,1.90,0.82,0.59,0.00,0.00,89.00,100.00,100.00,650.00,704.00,668.00
74,doll,2.64,2.17,2.17,1.21,0.52,1.79,1.64,3.88,3.53,2.94,1.86,1.01,0.81,2.64,2.17,2.17,1.21,0.52,1.79,0.00,0.00,0.00,100.00,100.00,100.00,1005.00,1073.00,827.00
75,donkey,4.45,4.00,4.33,0.52,0.91,0.42,4.46,3.00,3.06,2.71,1.63,1.18,0.72,4.45,4.00,4.33,0.52,0.91,0.42,0.94,0.37,0.96,79.00,93.00,77.00,989.00,913.00,796.00
76,door,3.00,2.92,3.42,1.26,1.54,0.99,2.00,5.00,4.76,4.82,0.00,0.57,0.15,3.00,2.92,3.42,1.26,1.54,0.99,2.44,2.15,1.50,29.00,44.00,53.00,699.00,745.00,701.00
77,doorknob,3.91,3.82,3.00,0.94,1.36,2.36,2.46,4.12,4.24,4.29,1.61,0.82,1.47,3.91,3.82,3.00,0.94,1.36,2.36,0.00,0.37,0.00,100.00,93.00,100.00,1697.00,1619.00,1274.00
78,dress,2.27,2.25,2.33,1.01,1.11,1.33,1.00,4.24,3.65,4.12,1.07,1.24,0.86,2.27,2.25,2.33,1.01,1.11,1.33,1.59,1.00,1.54,33.00,50.00,38.00,996.00,776.00,760.00
79,dresser,3.73,3.83,3.67,1.56,0.88,1.52,3.36,4.47,4.18,4.47,1.14,0.90,0.51,3.73,3.83,3.67,1.56,0.88,1.52,0.63,0.47,0.72,84.00,90.00,80.00,913.00,1123.00,1273.00
80,drum,3.91,3.58,3.58,0.83,1.36,1.17,2.18,2.59,2.71,2.18,1.13,1.72,1.28,3.91,3.58,3.58,0.83,1.36,1.17,0.00,0.00,0.00,100.00,100.00,100.00,816.00,844.00,797.00
81,duck,3.55,3.67,3.75,1.21,0.61,1.48,3.18,3.65,3.47,3.59,1.37,0.89,0.51,3.55,3.67,3.75,1.21,0.61,1.48,0.00,0.32,0.00,100.00,94.00,100.00,1224.00,1031.00,991.00
82,eagle,3.36,3.08,3.67,1.36,0.63,0.79,4.27,2.18,2.29,1.82,1.28,1.22,0.90,3.36,3.08,3.67,1.36,0.63,0.79,0.75,0.32,0.50,85.00,94.00,89.00,1168.00,1128.00,1025.00
83,ear,4.55,4.50,4.67,0.52,0.27,0.24,4.18,4.88,4.82,4.76,0.24,0.15,0.19,4.55,4.50,4.67,0.52,0.27,0.24,0.00,0.00,0.00,100.00,100.00,100.00,656.00,695.00,640.00
84,elephant,4.09,4.08,4.50,1.14,0.63,0.45,4.73,2.00,2.29,2.41,1.50,1.10,0.88,4.09,4.08,4.50,1.14,0.63,0.45,0.00,0.00,0.00,100.00,100.00,100.00,658.00,657.00,644.00
85,envelope,4.09,4.58,4.83,1.30,0.45,0.15,3.46,4.41,4.41,4.29,1.38,0.51,0.60,4.09,4.58,4.83,1.30,0.45,0.15,1.00,1.46,0.98,53.00,53.00,59.00,744.00,706.00,654.00
86,eye,3.27,3.33,2.83,1.01,1.88,1.61,2.64,4.88,4.76,4.82,0.11,0.32,0.15,3.27,3.33,2.83,1.01,1.88,1.61,0.00,0.00,0.00,100.00,100.00,100.00,669.00,735.00,615.00
87,fence,4.36,3.67,4.00,0.81,0.97,0.73,3.09,3.76,3.41,3.18,1.19,0.76,0.78,4.36,3.67,4.00,0.81,0.97,0.73,0.29,0.00,0.00,95.00,100.00,100.00,1104.00,823.00,813.00
88,finger,4.09,4.67,4.42,1.45,0.24,0.63,4.09,5.00,4.47,4.94,0.00,0.89,0.06,4.09,4.67,4.42,1.45,0.24,0.63,0.00,0.00,0.00,100.00,100.00,100.00,771.00,794.00,732.00
89,fish,3.73,2.92,2.92,1.19,1.36,2.27,1.82,3.53,3.47,3.18,1.26,1.51,0.90,3.73,2.92,2.92,1.19,1.36,2.27,0.65,0.00,0.29,83.00,100.00,95.00,740.00,757.00,824.00
90,flag,3.36,3.83,3.17,1.03,1.79,1.97,1.00,3.06,3.18,2.35,1.43,1.53,0.49,3.36,3.83,3.17,1.03,1.79,1.97,0.68,1.17,0.78,82.00,75.00,84.00,773.00,761.00,773.00
91,flower,3.36,3.33,2.42,1.50,0.79,1.54,1.27,4.59,4.53,4.29,1.01,0.39,0.47,3.36,3.33,2.42,1.50,0.79,1.54,0.00,0.29,0.00,100.00,95.00,100.00,785.00,866.00,755.00
92,flute,2.91,3.17,2.67,1.38,1.42,1.15,3.36,1.06,2.47,2.35,0.06,1.14,1.37,2.91,3.17,2.67,1.38,1.42,1.15,1.21,1.48,1.09,61.00,47.00,74.00,1509.00,1288.00,1059.00
93,fly,4.18,4.25,4.33,1.33,0.39,0.61,4.46,3.65,3.59,3.47,1.37,1.01,1.01,4.18,4.25,4.33,1.33,0.39,0.61,0.00,0.00,0.00,100.00,100.00,100.00,1316.00,1228.00,1095.00
94,foot,4.36,4.33,4.67,0.92,0.42,0.24,4.09,4.88,4.53,4.88,0.24,0.64,0.11,4.36,4.33,4.67,0.92,0.42,0.24,0.32,0.00,0.29,94.00,100.00,95.00,693.00,737.00,684.00
95,football,4.55,4.83,4.67,0.69,0.15,0.24,3.55,2.35,2.00,1.76,1.37,0.88,0.69,4.55,4.83,4.67,0.69,0.15,0.24,1.46,0.63,0.50,70.00,84.00,89.00,1241.00,1284.00,1263.00
96,football helmet,3.20,3.00,3.91,1.69,2.91,1.89,1.18,1.94,2.29,2.24,1.06,1.72,0.94,3.20,3.00,3.91,1.69,2.91,1.89,0.00,0.50,0.00,100.00,89.00,100.00,1127.00,1009.00,830.00
97,fork,4.55,4.67,4.92,0.52,0.24,0.08,4.09,4.94,4.82,4.88,0.06,0.15,0.11,4.55,4.67,4.92,0.52,0.24,0.08,0.00,1.23,0.00,100.00,65.00,100.00,774.00,821.00,762.00
98,fox,4.45,4.08,4.08,0.82,0.63,0.81,4.36,2.53,2.35,2.35,1.51,0.99,0.99,4.45,4.08,4.08,0.82,0.63,0.81,0.98,0.00,0.79,59.00,100.00,76.00,1048.00,1017.00,1043.00
99,french horn,3.20,3.45,3.92,1.81,2.67,2.63,4.27,2.41,2.35,1.88,1.88,1.24,0.86,3.20,3.45,3.92,1.81,2.67,2.63,0.00,0.00,0.00,100.00,100.00,100.00,923.00,1364.00,1401.00
100,frog,4.18,3.83,4.17,0.87,1.06,0.88,4.09,2.94,2.82,2.65,1.68,0.78,0.99,4.18,3.83,4.17,0.87,1.06,0.88,0.00,0.00,0.00,100.00,100.00,100.00,878.00,931.00,789.00
101,frying pan,3.73,3.50,3.33,1.10,0.64,1.33,3.00,4.59,4.71,4.65,0.51,0.35,0.24,3.73,3.50,3.33,1.10,0.64,1.33,0.00,0.00,0.00,100.00,100.00,100.00,966.00,916.00,955.00
102,garbage can,3.82,2.75,4.25,1.47,1.30,1.30,2.64,4.47,3.88,4.41,0.76,1.36,0.38,3.82,2.75,4.25,1.47,1.30,1.30,0.32,0.00,0.00,94.00,100.00,100.00,958.00,878.00,787.00
103,giraffe,4.73,4.83,4.42,0.47,0.15,0.45,4.55,1.88,1.94,2.12,1.24,0.93,1.11,4.73,4.83,4.42,0.47,0.15,0.45,0.00,0.00,0.00,100.00,100.00,100.00,734.00,754.00,730.00
104,glass,3.91,4.42,3.92,1.30,0.45,1.17,3.64,4.94,4.88,4.94,0.06,0.11,0.06,3.91,4.42,3.92,1.30,0.45,1.17,0.00,0.00,0.00,100.00,100.00,100.00,673.00,715.00,672.00
105,glasses,3.27,3.58,3.50,1.10,0.81,0.82,2.27,4.76,4.47,4.29,0.44,0.64,0.85,3.27,3.58,3.50,1.10,0.81,0.82,0.00,0.00,0.29,100.00,100.00,95.00,672.00,742.00,657.00
106,gloves,3.45,3.58,3.17,1.29,0.99,1.42,1.36,4.12,3.88,3.59,0.86,0.99,1.01,3.45,3.58,3.17,1.29,0.99,1.42,0.00,0.00,0.32,100.00,100.00,94.00,910.00,849.00,787.00
107,goat,4.09,4.17,4.00,0.70,0.70,0.55,3.73,2.71,2.65,2.47,1.47,0.74,0.76,4.09,4.17,4.00,0.70,0.70,0.55,0.00,0.00,0.00,100.00,100.00,100.00,1175.00,1307.00,1254.00
108,gorilla,3.45,4.08,4.25,1.04,0.27,0.75,4.55,2.00,2.41,1.94,1.38,1.38,0.81,3.45,4.08,4.25,1.04,0.27,0.75,1.06,1.14,1.39,72.00,65.00,59.00,1037.00,1051.00,1138.00
109,grapes,3.64,4.08,4.08,1.12,0.45,0.81,3.64,4.06,4.47,4.06,1.56,0.39,0.43,3.64,4.08,4.08,1.12,0.45,0.81,0.50,0.29,0.00,89.00,95.00,100.00,847.00,956.00,811.00
110,grasshopper,4.18,3.92,4.17,0.75,0.99,1.24,4.46,2.41,2.24,2.06,1.63,1.07,0.68,4.18,3.92,4.17,0.75,0.99,1.24,0.00,0.61,0.47,100.00,85.00,90.00,1424.00,1591.00,1127.00
111,guitar,4.27,4.67,4.58,1.01,0.24,0.99,3.64,3.71,3.59,3.71,0.97,1.26,0.60,4.27,4.67,4.58,1.01,0.24,0.99,0.29,0.00,0.58,95.00,100.00,90.00,805.00,759.00,679.00
